[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 35, g: 41, b: 43, data: 589900799, dataMask: 255
[receive_completed_jobs()]                 r: 51, g: 42, b: 37, data: 858400255, dataMask: 255
[receive_completed_jobs()]                 r: 78, g: 74, b: 78, data: 1313492735, dataMask: 255
[receive_completed_jobs()]                 r: 44, g: 40, b: 45, data: 740830719, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 28, g: 31, b: 33, data: 471802367, dataMask: 255
[receive_completed_jobs()]                 r: 128, g: 123, b: 151, data: -2139383809, dataMask: 255
[receive_completed_jobs()]                 r: 160, g: 162, b: 158, data: -1599955201, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 57, g: 72, b: 92, data: 961043711, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
[receive_completed_jobs()]                 r: 0, g: 0, b: 0, data: 255, dataMask: 255
